Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Volume,Issue,Part Number,Supplement,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Walter, JA; Reuman, DC; Hall, KR; Shugart, HH; Shoemaker, LG",,,,"Walter, Jonathan A.; Reuman, Daniel C.; Hall, Kimberly R.; Shugart, Herman H.; Shoemaker, Lauren G.",,,Seasonality in Environment and Population Processes Alters Population Spatial Synchrony,AMERICAN NATURALIST,,,,,,,,,,,,"Population spatial synchrony-the tendency for temporal population fluctuations to be correlated across locations-is common and important to metapopulation stability and persistence. One common cause of spatial synchrony, termed the Moran effect, occurs when populations respond to environmental fluctuations, such as weather, that are correlated over space. Although the degree of spatial synchrony in environmental fluctuations can differ between seasons and different population processes occur in different seasons, the impact on population spatial synchrony is uncertain because prior work has largely assumed that the spatial synchrony of environmental fluctuations and their effect on populations are consistent over annual sampling intervals. We used theoretical models to examine how seasonality in population processes and the spatial synchrony of environmental drivers affect population spatial synchrony. We found that population spatial synchrony can depend not only on the spatial synchrony of environmental drivers but also on the degree to which environmental fluctuations are correlated across seasons, locally, and across space. Moreover, measurements of synchrony from snapshot population censuses may not accurately reflect synchrony during other parts of the year. Together, these results show that neglecting seasonality in environmental conditions and population processes is consequential for understanding population spatial synchrony and its driving mechanisms.",,,,,"Shugart, Herman/C-5156-2009","Shoemaker, Lauren/0000-0002-4465-8432",,,,,,,,,,,,,0003-0147,1537-5323,,,,OCT 1,2023,202,4,,,,,399,412,,10.1086/725804,http://dx.doi.org/10.1086/725804,,OCT 2023,,,,,,37792915,,,,,WOS:001061911000001,View Full Record in Web of Science
J,"Gao, M; Li, WL; Li, ZZ; Dai, HW; Liu, HT",,,,"Gao, Meng; Li, Wenlong; Li, Zizhen; Dai, Huawei; Liu, Hongtao",,,Spatial synchrony in host-parasitoid populations,ECOLOGICAL MODELLING,,,,,,,,,,,,"The ubiquity of spatial synchrony and its influences and causes have attracted the interest of ecologists. Spatially correlated environmental noises, dispersal, and trophic interactions have been considered as the causes of spatial synchrony. In this study, we developed a spatially implicit host-parasitoid model. Beside the above three mechanisms, correlation of environmental noise on different trophic levels was also included. Patterns of spatial synchrony was considered for stable, quasi-periodic, periodic, and chaotic population dynamics, respectively In the stable region, a theoretical exploration based on a linearized 2-patch model was firstly done. Theoretical prediction shows that trophic correlation of environmental noises is another mechanism causing spatial synchrony. Numerical simulations of 2-patch and multi-patch models also verified the prediction. More simulations in other region show that periodic and quasi-periodic populations could be synchronized, while chaotic populations are hard to synchronize. The importance of our research is enriching the theory of potential causes of spatial synchrony. (C) 2006 Elsevier B.V. All rights reserved.",,,,,"Gao, Meng/ITU-2991-2023",,,,,,,,,,,,,,0304-3800,1872-7026,,,,MAY 24,2007,204,1-2,,,,,29,39,,10.1016/j.ecolmodel.2006.12.024,http://dx.doi.org/10.1016/j.ecolmodel.2006.12.024,,,,,,,,,,,,,WOS:000246746400004,View Full Record in Web of Science
J,"HANSKI, I; WOIWOD, IP",,,,"HANSKI, I; WOIWOD, IP",,,SPATIAL SYNCHRONY IN THE DYNAMICS OF MOTH AND APHID POPULATIONS,JOURNAL OF ANIMAL ECOLOGY,,,,,,,,,,,,"1. We report patterns of intraspecific spatial synchrony (cross-correlation with lag zero) in the dynamics of British moths and aphids sampled at 57 and 21 localities throughout the UK. 2. Spatial synchrony was substantially higher in aphids than in moths. In both taxa, spatial synchrony declined with increasing distance between conspecific populations, but synchrony remained positive at all distances up to 800 km. 3. Species with large slopes (>2) of the spatial variance-mean regression had spatially asynchronous dynamics, as predicted by a theoretical model. 4. In noctuid moths and in aphids, but not in geometrid moths, there was a significant positive correlation between the degree of spatial synchrony and the level of temporal variability in local populations. 5. We discuss the two main hypotheses about the causes of spatial synchrony, migration and regional stochasticity (spatially correlated weather conditions). We conclude that our results on large-scale spatial synchrony in moths and aphids are better explained by regional stochasticity than by migration.",,,,,,,,,,,,,,,,,,,0021-8790,,,,,,1993,62,4,,,,,656,668,,10.2307/5386,http://dx.doi.org/10.2307/5386,,,,,,,,,,,,,WOS:A1993MA34600006,View Full Record in Web of Science
J,"Hopson, J; Fox, JW",,,,"Hopson, Jessica; Fox, Jeremy W.",,,Occasional long distance dispersal increases spatial synchrony of population cycles,JOURNAL OF ANIMAL ECOLOGY,,,,,,,,,,,,"Spatially separated populations of the same species often exhibit correlated fluctuations in abundance, a phenomenon known as spatial synchrony. Dispersal can generate spatial synchrony. In nature, most individuals disperse short distances with a minority dispersing long distances. The effect of occasional long distance dispersal on synchrony is untested, and theoretical predictions are contradictory. Occasional long distance dispersal might either increase both overall synchrony and the spatial scale of synchrony, or reduce them. We conducted a protist microcosm experiment to test whether occasional long distance dispersal increases or decreases overall synchrony and the spatial scale of synchrony. We assembled replicate 15-patch ring metapopulations of the protist predator Euplotes patella and its protist prey Tetrahymena pyriformis. All metapopulations experienced the same dispersal rate, but differed in dispersal distance. Some metapopulations experienced strictly short distance (nearest neighbour) dispersal, others experienced a mixture of short- and long distance dispersal. Occasional long distance dispersal increased overall spatial synchrony and the spatial scale of synchrony for both prey and predators, though the effects were not statistically significant for predators. As predicted by theory, dispersal generated spatial synchrony by entraining the phases of the predator-prey cycles in different patches, a phenomenon known as phase locking. Our results are consistent with theoretical models predicting that occasional long distance dispersal increases spatial synchrony. However, our results also illustrate that the spatial scale of synchrony need not match the spatial scale of the processes generating synchrony. Even strictly short distance dispersal maintained high spatial synchrony for many generations at spatial scales much longer than the dispersal distance, thanks to phase locking.",,,,,,,,,,,,,,,,,,,0021-8790,1365-2656,,,,JAN,2019,88,1,,,,,154,163,,10.1111/1365-2656.12905,http://dx.doi.org/10.1111/1365-2656.12905,,,,,,,,30280379,,,,,WOS:000456690800014,View Full Record in Web of Science
J,"Myers, JT; Yule, DL; Jones, ML; Ahrenstorff, TD; Hrabik, TR; Claramunt, RM; Ebener, MP; Berglund, E",,,,"Myers, Jared T.; Yule, Daniel L.; Jones, Michael L.; Ahrenstorff, Tyler D.; Hrabik, Thomas R.; Claramunt, Randall M.; Ebener, Mark P.; Berglund, Erick.",,,Spatial synchrony in cisco recruitment,FISHERIES RESEARCH,,,,,,,,,,,,"We examined the spatial scale of recruitment variability for disparate cisco (Coregonus artedi) populations in the Great Lakes (n = 8) and Minnesota inland lakes (n=4). We found that the scale of synchrony was approximately 400 km when all available data were utilized; much greater than the 50-km scale suggested for freshwater fish populations in an earlier global analysis. The presence of recruitment synchrony between Great Lakes and inland lake cisco populations supports the hypothesis that synchronicity is driven by climate and not dispersal. We also found synchrony in larval densities among three Lake Superior populations separated by 25-275 km, which further supports the hypothesis that broad-scale climatic factors are the cause of spatial synchrony. Among several candidate climate variables measured during the period of larval cisco emergence, maximum wind speeds exhibited the most similar spatial scale of synchrony to that observed for cisco. Other factors, such as average water temperatures, exhibited synchrony on broader spatial scales, which suggests they could also be contributing to recruitment synchrony. Our results provide evidence that abiotic factors can induce synchronous patterns of recruitment for populations of cisco inhabiting waters across a broad geographic range, and show that broad-scale synchrony of recruitment can occur in freshwater fish populations as well as those from marine systems. (C) 2015 Elsevier B.V. All rights reserved.",,,,,"Hrabik, Thomas/GYA-2566-2022",,,,,,,,,,,,,,0165-7836,1872-6763,,,,MAY,2015,165,,,,,,11,21,,10.1016/j.fishres.2014.12.014,http://dx.doi.org/10.1016/j.fishres.2014.12.014,,,,,,,,,,,,,WOS:000352748800002,View Full Record in Web of Science
J,"Chen, XW; Barrows, CW; Li, BL",,,,"Chen, Xiongwen; Barrows, Cameron W.; Li, Bai-Lian",,,Phase coupling and spatial synchrony of subpopulations of an endangered dune lizard,LANDSCAPE ECOLOGY,,,,,,,,,,,,"Examining demographic phase coupling and spatial synchrony is important for understanding complicated spatiotemporal population dynamics. It is also necessary for protecting rare and endangered species; populations whose dynamics are controlled by resource flux will face increased extinction risk if environmental conditions that drive those resources become spatially synchronized. In this study, we studied the spatial synchrony of subpopulations of the threatened Coachella Valley fringe-toed lizard (Uma inonzata), on its remaining sand dune habitat in the Coachella Valley of California. Our results indicated that there is a high level of spatial synchrony between lizard density and their mean reproductive effort for two subpopulations separated by a relatively short distance. High levels of spatial synchrony also exist between the mean lizards' reproductive effort and annual precipitation. We measured spatial synchrony using four separate methods; using different methods allows understanding of complicated ecological interactions.",,,,,,,,,,,,,,,,,,,0921-2973,,,,,NOV,2006,21,8,,,,,1185,1193,,10.1007/s10980-006-0002-2,http://dx.doi.org/10.1007/s10980-006-0002-2,,,,,,,,,,,,,WOS:000242089300002,View Full Record in Web of Science
J,"Yang, Q; Hong, PB; Luo, MY; Jiang, L; Wang, SP",,,,"Yang, Qi; Hong, Pubin; Luo, Mingyu; Jiang, Lin; Wang, Shaopeng",,,Dispersal Increases Spatial Synchrony of Populations but Has Weak Effects on Population Variability: A Meta-analysis,AMERICAN NATURALIST,,,,,,,,,,,,"The effects of dispersal on spatial synchrony and population variability have been well documented in theoretical research, and a growing number of empirical tests have been performed. Yet a synthesis is still lacking. Here, we conducted a meta-analysis of relevant experiments and examined how dispersal affected spatial synchrony and temporal population variability across scales. Our analyses showed that dispersal generally promoted spatial synchrony, and such effects increased with dispersal rate and decreased with environmental correlation among patches. The synchronizing effect of dispersal, however, was detected only when spatial synchrony was measured using the correlation-based index, not when the covariance-based index was used. In contrast to theoretical predictions, the effect of dispersal on local population variability was generally nonsignificant, except when environmental correlation among patches was negative and/or the experimental period was long. At the regional scale, while low dispersal stabilized metapopulation dynamics, high dispersal led to destabilization. Overall, the sign and strength of dispersal effects on spatial synchrony and population variability were modulated by taxa, environmental heterogeneity, type of perturbations, patch number, and experimental length. Our synthesis demonstrates that dispersal can affect the dynamics of spatially distributed populations, but its effects are context dependent on abiotic and biotic factors.",,,,,"Hong, Pubin/AFD-7648-2022; Wang, Shaopeng/J-7091-2012; Luo, Mingyu/IAN-3852-2023","Wang, Shaopeng/0000-0002-9430-8879; Luo, Mingyu/0000-0002-2975-5218; , Qi/0000-0001-6764-2284",,,,,,,,,,,,,0003-0147,1537-5323,,,,OCT,2022,200,4,,,,,544,555,,10.1086/720715,http://dx.doi.org/10.1086/720715,,OCT 2022,,,,,,36150194,,,,,WOS:000835970100001,View Full Record in Web of Science
J,"Buonaccorsi, JP; Elkinton, JS; Evans, SR; Liebhold, AM",,,,"Buonaccorsi, JP; Elkinton, JS; Evans, SR; Liebhold, AM",,,Measuring and testing for spatial synchrony,ECOLOGY,,,,,,,,,,,,"Spatial synchrony in abundance among populations at different locations has been studied for many species. Different statistics have been used as measures of synchrony, and various techniques have been employed to test the hypothesis that there is no synchrony. In this paper we first describe and contrast various measures of synchrony and then discuss testing for no synchrony. Tests that ignore the serial correlation are commonly employed but are incorrect if there is serial correlation present, as is often the case with populations followed over time. Alternative approaches and their limitations are presented including tests based on residuals, adjusted degrees of freedom tests, and bootstrap procedures. We recommend tests based on residuals in a model-based setting. We also discuss some of the difficulties of finding model-free approaches and suggest some methods based on confidence intervals for future study.",,,,,"Liebhold, Andrew/C-1423-2008",,,,,,,,,,,,,,0012-9658,1939-9170,,,,JUN,2001,82,6,,,,,1668,1679,,10.1890/0012-9658(2001)082[1668:MATFSS]2.0.CO;2,http://dx.doi.org/10.1890/0012-9658(2001)082[1668:MATFSS]2.0.CO;2,,,,,,,,,,,,,WOS:000169521200014,View Full Record in Web of Science
J,"Walter, JA; Shoemaker, LG; Lany, NK; Castorani, MCN; Fey, SB; Dudney, JC; Gherardi, L; Portales-Reyes, C; Rypel, AL; Cottingham, KL; Suding, KN; Reuman, DC; Hallett, LM",,,,"Walter, Jonathan A.; Shoemaker, Lauren G.; Lany, Nina K.; Castorani, Max C. N.; Fey, Samuel B.; Dudney, Joan C.; Gherardi, Laureano; Portales-Reyes, Cristina; Rypel, Andrew L.; Cottingham, Kathryn L.; Suding, Katharine N.; Reuman, Daniel C.; Hallett, Lauren M.",,,The spatial synchrony of species richness and its relationship to ecosystem stability,ECOLOGY,,,,,,,,,,,,"Synchrony is broadly important to population and community dynamics due to its ubiquity and implications for extinction dynamics, system stability, and species diversity. Investigations of synchrony in community ecology have tended to focus on covariance in the abundances of multiple species in a single location. Yet, the importance of regional environmental variation and spatial processes in community dynamics suggests that community properties, such as species richness, could fluctuate synchronously across patches in a metacommunity, in an analog of population spatial synchrony. Here, we test the prevalence of this phenomenon and the conditions under which it may occur using theoretical simulations and empirical data from 20 marine and terrestrial metacommunities. Additionally, given the importance of biodiversity for stability of ecosystem function, we posit that spatial synchrony in species richness is strongly related to stability. Our findings show that metacommunities often exhibit spatial synchrony in species richness. We also found that richness synchrony can be driven by environmental stochasticity and dispersal, two mechanisms of population spatial synchrony. Richness synchrony also depended on community structure, including species evenness and beta diversity. Strikingly, ecosystem stability was more strongly related to richness synchrony than to species richness itself, likely because richness synchrony integrates information about community processes and environmental forcing. Our study highlights a new approach for studying spatiotemporal community dynamics and emphasizes the spatial dimensions of community dynamics and stability.",,,,,"Castorani, Max/LDE-5681-2024; Suding, Katharine/O-6290-2017; Dudney, Joan/AAW-7695-2021; Cottingham, Kathryn/AAV-3934-2021; HALLETT, LAUREN/R-1560-2017","Walter, Jonathan/0000-0003-2983-751X; Cottingham, Kathryn/0000-0003-3169-5047; Lany, Nina/0000-0003-0868-266X; Shoemaker, Lauren/0000-0002-4465-8432; Fey, Samuel/0000-0002-7471-3308; Castorani, Max/0000-0002-7372-9359; Dudney, Joan/0000-0003-3986-065X; HALLETT, LAUREN/0000-0002-0718-0257",,,,,,,,,,,,,0012-9658,1939-9170,,,,NOV,2021,102,11,,,,,,,e03486,10.1002/ecy.3486,http://dx.doi.org/10.1002/ecy.3486,,AUG 2021,,,,,,34289105,,,,,WOS:000684167500001,View Full Record in Web of Science
J,"Walter, JA; Sheppard, LW; Anderson, TL; Kastens, JH; Bjornstad, ON; Liebhold, AM; Reuman, DC",,,,"Walter, Jonathan A.; Sheppard, Lawrence W.; Anderson, Thomas L.; Kastens, Jude H.; Bjornstad, Ottar N.; Liebhold, Andrew M.; Reuman, Daniel C.",,,The geography of spatial synchrony,ECOLOGY LETTERS,,,,,,,,,,,,"Spatial synchrony, defined as correlated temporal fluctuations among populations, is a fundamental feature of population dynamics, but many aspects of synchrony remain poorly understood. Few studies have examined detailed geographical patterns of synchrony; instead most focus on how synchrony declines with increasing linear distance between locations, making the simplifying assumption that distance decay is isotropic. By synthesising and extending prior work, we show how geography of synchrony, a term which we use to refer to detailed spatial variation in patterns of synchrony, can be leveraged to understand ecological processes including identification of drivers of synchrony, a long-standing challenge. We focus on three main objectives: (1) showing conceptually and theoretically four mechanisms that can generate geographies of synchrony; (2) documenting complex and pronounced geographies of synchrony in two important study systems; and (3) demonstrating a variety of methods capable of revealing the geography of synchrony and, through it, underlying organism ecology. For example, we introduce a new type of network, the synchrony network, the structure of which provides ecological insight. By documenting the importance of geographies of synchrony, advancing conceptual frameworks, and demonstrating powerful methods, we aim to help elevate the geography of synchrony into a mainstream area of study and application.",,,,,"Sheppard, Lawrence/KFB-7678-2024; Liebhold, Andrew/C-1423-2008; Bjornstad, Ottar/I-4518-2012","Walter, Jonathan/0000-0003-2983-751X; Sheppard, Lawrence/0000-0002-9032-2059",,,,,,,,,,,,,1461-023X,1461-0248,,,,JUL,2017,20,7,,,,,801,814,,10.1111/ele.12782,http://dx.doi.org/10.1111/ele.12782,,,,,,,,28547786,,,,,WOS:000403794100002,View Full Record in Web of Science
J,"Lagos, NA; Tapia, FJ; Navarrete, SA; Castilla, JC",,,,"Lagos, Nelson A.; Tapia, Fabian J.; Navarrete, Sergio A.; Castilla, Juan Carlos",,,Spatial synchrony in the recruitment of intertidal invertebrates along the coast of central Chile,MARINE ECOLOGY PROGRESS SERIES,,,,,,,,,,,,"Recruitment is among the processes that most directly influence spatio-temporal patterns of abundance, productivity, and persistence in marine populations. Understanding the connection between patterns of recruitment and environmental forcing has major implications for the conservation and management of marine ecosystems. Theoretical and empirical studies have shown that dispersal and regional variability in environmental conditions may synchronize distant populations and generate patterns of spatial synchrony (i.e. decay in synchrony with distance). Here, we submit that recruitment synchrony patterns may be used to identify processes shaping the distribution of marine populations. We used artificial substrates to estimate patterns of spatial synchrony in recruitment for 15 intertidal invertebrates at 16 exposed rocky platforms spanning 120 km of the central coast of Chile. Clear and significant synchrony patterns were found for only 4 species: the barnacles Jehlius cirratus, Notochthamalus scabrosus, and Notobalanus flosculus, and the bivalve Perumytilus purpuratus, all of which occur at comparatively high abundance across the study region. The strength of synchrony decayed with distance, from positively correlated fluctuations for sites separated by < 30 km, to negatively correlated for sites > 40 km apart. Patterns of spatial synchrony in recruitment resembled those of fluctuations in sea surface temperature, suggesting that mesoscale processes such as coastal upwelling may shape recruitment patterns by way of modulating larval dispersal. A lack of clear synchrony patterns in the remaining species could be ascribed to their low abundance, or, for those with potentially limited larval dispersal (e.g. direct development), it could indicate our lack of adequate spatio-temporal resolution to detect recruitment variability at small scales.",,,,,"Navarrete, Sergio/D-4645-2013","Tapia, Fabian/0000-0001-9661-6069; Navarrete, Sergio Andres/0000-0003-4021-3863",,,,,,,,,,,,,0171-8630,,,,,,2007,350,,,,,,29,39,,10.3354/meps07105,http://dx.doi.org/10.3354/meps07105,,,,,,,,,,,,,WOS:000251948500003,View Full Record in Web of Science
